Pokemon,Card Type,Generation,Card Number,Price
ENERGY REMOVAL 2,REVERSE HOLO,EX POWER KEEPERS,074 OF 108,1.85
ENERGY REMOVAL 2,STANDARD,EX POWER KEEPERS,074 OF 108,0.69
ENERGY SWITCH,REVERSE HOLO,EX POWER KEEPERS,075 OF 108,2.29
ENERGY SWITCH,STANDARD,EX POWER KEEPERS,075 OF 108,0.49
GLACIA'S STADIUM,REVERSE HOLO,EX POWER KEEPERS,076 OF 108,1.85
GLACIA'S STADIUM,STANDARD,EX POWER KEEPERS,076 OF 108,0.59
GREAT BALL,REVERSE HOLO,EX POWER KEEPERS,077 OF 108,1.85
GREAT BALL,STANDARD,EX POWER KEEPERS,077 OF 108,0.49
MASTER BALL,REVERSE HOLO,EX POWER KEEPERS,078 OF 108,1.85
MASTER BALL,STANDARD,EX POWER KEEPERS,078 OF 108,0.49
PHOEBE'S STADIUM,REVERSE HOLO,EX POWER KEEPERS,079 OF 108,1.85
PHOEBE'S STADIUM,STANDARD,EX POWER KEEPERS,079 OF 108,0.59
PROFESSOR BIRCH,REVERSE HOLO,EX POWER KEEPERS,080 OF 108,1.85
PROFESSOR BIRCH,STANDARD,EX POWER KEEPERS,080 OF 108,0.49
SCOTT,REVERSE HOLO,EX POWER KEEPERS,081 OF 108,6.75
SCOTT,STANDARD,EX POWER KEEPERS,081 OF 108,1.35
SIDNEY'S STADIUM,REVERSE HOLO,EX POWER KEEPERS,082 OF 108,1.85
SIDNEY'S STADIUM,STANDARD,EX POWER KEEPERS,082 OF 108,0.59
STEVEN'S ADVICE,REVERSE HOLO,EX POWER KEEPERS,083 OF 108,4.29
STEVEN'S ADVICE,STANDARD,EX POWER KEEPERS,083 OF 108,2.29
CLAW FOSSIL,REVERSE HOLO,EX POWER KEEPERS,084 OF 108,1.35
CLAW FOSSIL,STANDARD,EX POWER KEEPERS,084 OF 108,0.39
MYSTERIOUS FOSSIL,REVERSE HOLO,EX POWER KEEPERS,085 OF 108,1.85
MYSTERIOUS FOSSIL,STANDARD,EX POWER KEEPERS,085 OF 108,0.39
ROOT FOSSIL,REVERSE HOLO,EX POWER KEEPERS,086 OF 108,1.35
ROOT FOSSIL,STANDARD,EX POWER KEEPERS,086 OF 108,0.39
DARKNESS ENERGY,REVERSE HOLO,EX POWER KEEPERS,087 OF 108,3.29
DARKNESS ENERGY,STANDARD,EX POWER KEEPERS,087 OF 108,1.35
METAL ENERGY,REVERSE HOLO,EX POWER KEEPERS,088 OF 108,3.29
METAL ENERGY,STANDARD,EX POWER KEEPERS,088 OF 108,1.35
MULTI ENERGY,REVERSE HOLO,EX POWER KEEPERS,089 OF 108,3.29
MULTI ENERGY,STANDARD,EX POWER KEEPERS,089 OF 108,1.85
CYCLONE ENERGY,REVERSE HOLO,EX POWER KEEPERS,090 OF 108,2.79
CYCLONE ENERGY,STANDARD,EX POWER KEEPERS,090 OF 108,0.89
WARP ENERGY,REVERSE HOLO,EX POWER KEEPERS,091 OF 108,2.79
WARP ENERGY,STANDARD,EX POWER KEEPERS,091 OF 108,0.89
ABSOL EX,STANDARD,EX POWER KEEPERS,092 OF 108,9.75
CLAYDOL EX,STANDARD,EX POWER KEEPERS,093 OF 108,6.75
FLYGON EX,STANDARD,EX POWER KEEPERS,094 OF 108,6.75
METAGROSS EX,STANDARD,EX POWER KEEPERS,095 OF 108,9.99
SALAMENCE EX,STANDARD,EX POWER KEEPERS,096 OF 108,12.99
SHIFTRY EX,STANDARD,EX POWER KEEPERS,097 OF 108,6.75
SKARMORY EX,STANDARD,EX POWER KEEPERS,098 OF 108,6.75
WALREIN EX,STANDARD,EX POWER KEEPERS,099 OF 108,7.75
FLAREON GOLD STAR,STANDARD,EX POWER KEEPERS,100 OF 108,118.99
JOLTEON GOLD STAR,STANDARD,EX POWER KEEPERS,101 OF 108,213.99
VAPOREON GOLD,STANDARD,EX POWER KEEPERS,102 OF 108,118.99
GRASS ENERGY,STANDARD,EX POWER KEEPERS,103 OF 108,4.79
FIRE ENERGY,STANDARD,EX POWER KEEPERS,104 OF 108,4.79
WATER ENERGY,STANDARD,EX POWER KEEPERS,105 OF 108,4.79
LIGHTNING ENERGY,STANDARD,EX POWER KEEPERS,106 OF 108,4.79
PSYCHIC ENERGY,STANDARD,EX POWER KEEPERS,107 OF 108,4.79
FIGHTING ENERGY,STANDARD,EX POWER KEEPERS,108 OF 108,4.79
AGGRON,REVERSE HOLO,EX RUBY AND SAPPHIRE,001 OF 109,8.75
AGGRON,STANDARD,EX RUBY AND SAPPHIRE,001 OF 109,4.29
BEAUTIFLY,REVERSE HOLO,EX RUBY AND SAPPHIRE,002 OF 109,6.25
BEAUTIFLY,STANDARD,EX RUBY AND SAPPHIRE,002 OF 109,4.29
BLAZIKEN,REVERSE HOLO,EX RUBY AND SAPPHIRE,003 OF 109,7.75
BLAZIKEN,STANDARD,EX RUBY AND SAPPHIRE,003 OF 109,5.75
CAMERUPT,REVERSE HOLO,EX RUBY AND SAPPHIRE,004 OF 109,5.75
CAMERUPT,STANDARD,EX RUBY AND SAPPHIRE,004 OF 109,4.29
DELCATTY,REVERSE HOLO,EX RUBY AND SAPPHIRE,005 OF 109,5.25
DELCATTY,STANDARD,EX RUBY AND SAPPHIRE,005 OF 109,4.29
DUSTOX,REVERSE HOLO,EX RUBY AND SAPPHIRE,006 OF 109,5.25
DUSTOX,STANDARD,EX RUBY AND SAPPHIRE,006 OF 109,4.29
GARDEVOIR,REVERSE HOLO,EX RUBY AND SAPPHIRE,007 OF 109,8.25
GARDEVOIR,STANDARD,EX RUBY AND SAPPHIRE,007 OF 109,6.25
HARIYAMA,REVERSE HOLO,EX RUBY AND SAPPHIRE,008 OF 109,5.25
HARIYAMA,STANDARD,EX RUBY AND SAPPHIRE,008 OF 109,4.29
MANECTRIC,REVERSE HOLO,EX RUBY AND SAPPHIRE,009 OF 109,5.25
MANECTRIC,STANDARD,EX RUBY AND SAPPHIRE,009 OF 109,4.29
MIGHTYENA,REVERSE HOLO,EX RUBY AND SAPPHIRE,010 OF 109,5.25
MIGHTYENA,STANDARD,EX RUBY AND SAPPHIRE,010 OF 109,4.29
SCEPTILE,REVERSE HOLO,EX RUBY AND SAPPHIRE,011 OF 109,7.75
SCEPTILE,STANDARD,EX RUBY AND SAPPHIRE,011 OF 109,5.75
SLAKING,REVERSE HOLO,EX RUBY AND SAPPHIRE,012 OF 109,5.75
SLAKING,STANDARD,EX RUBY AND SAPPHIRE,012 OF 109,4.29
SWAMPERT,REVERSE HOLO,EX RUBY AND SAPPHIRE,013 OF 109,6.75
SWAMPERT,STANDARD,EX RUBY AND SAPPHIRE,013 OF 109,5.75
WAILORD,REVERSE HOLO,EX RUBY AND SAPPHIRE,014 OF 109,4.79
WAILORD,STANDARD,EX RUBY AND SAPPHIRE,014 OF 109,2.29
BLAZIKEN,REVERSE HOLO,EX RUBY AND SAPPHIRE,015 OF 109,6.25
BLAZIKEN,STANDARD,EX RUBY AND SAPPHIRE,015 OF 109,2.79
BRELOOM,REVERSE HOLO,EX RUBY AND SAPPHIRE,016 OF 109,4.79
BRELOOM,STANDARD,EX RUBY AND SAPPHIRE,016 OF 109,2.29
DONPHAN,REVERSE HOLO,EX RUBY AND SAPPHIRE,017 OF 109,4.29
DONPHAN,STANDARD,EX RUBY AND SAPPHIRE,017 OF 109,2.29
NOSEPASS,REVERSE HOLO,EX RUBY AND SAPPHIRE,018 OF 109,3.79
NOSEPASS,STANDARD,EX RUBY AND SAPPHIRE,018 OF 109,2.29
PELIPPER,REVERSE HOLO,EX RUBY AND SAPPHIRE,019 OF 109,3.79
PELIPPER,STANDARD,EX RUBY AND SAPPHIRE,019 OF 109,2.29
SCEPTILE,REVERSE HOLO,EX RUBY AND SAPPHIRE,020 OF 109,6.25
SCEPTILE,STANDARD,EX RUBY AND SAPPHIRE,020 OF 109,2.79
SEAKING,REVERSE HOLO,EX RUBY AND SAPPHIRE,021 OF 109,3.79
SEAKING,STANDARD,EX RUBY AND SAPPHIRE,021 OF 109,2.29
SHARPEDO,REVERSE HOLO,EX RUBY AND SAPPHIRE,022 OF 109,4.29
SHARPEDO,STANDARD,EX RUBY AND SAPPHIRE,022 OF 109,2.29
SWAMPERT,REVERSE HOLO,EX RUBY AND SAPPHIRE,023 OF 109,6.25
SWAMPERT,STANDARD,EX RUBY AND SAPPHIRE,023 OF 109,2.79
WEEZING,REVERSE HOLO,EX RUBY AND SAPPHIRE,024 OF 109,3.99
WEEZING,STANDARD,EX RUBY AND SAPPHIRE,024 OF 109,2.29
ARON,REVERSE HOLO,EX RUBY AND SAPPHIRE,025 OF 109,1.85
ARON,STANDARD,EX RUBY AND SAPPHIRE,025 OF 109,0.49
CASCOON,REVERSE HOLO,EX RUBY AND SAPPHIRE,026 OF 109,1.85
CASCOON,STANDARD,EX RUBY AND SAPPHIRE,026 OF 109,0.49
COMBUSKEN,REVERSE HOLO,EX RUBY AND SAPPHIRE,027 OF 109,2.79
COMBUSKEN,STANDARD,EX RUBY AND SAPPHIRE,027 OF 109,0.59
COMBUSKEN,REVERSE HOLO,EX RUBY AND SAPPHIRE,028 OF 109,3.79
COMBUSKEN,STANDARD,EX RUBY AND SAPPHIRE,028 OF 109,0.89
DELCATTY,REVERSE HOLO,EX RUBY AND SAPPHIRE,029 OF 109,2.79
DELCATTY,STANDARD,EX RUBY AND SAPPHIRE,029 OF 109,0.49
ELECTRIKE,REVERSE HOLO,EX RUBY AND SAPPHIRE,030 OF 109,1.85
ELECTRIKE,STANDARD,EX RUBY AND SAPPHIRE,030 OF 109,0.49
GROVYLE,REVERSE HOLO,EX RUBY AND SAPPHIRE,031 OF 109,2.79
GROVYLE,STANDARD,EX RUBY AND SAPPHIRE,031 OF 109,0.59
GROVYLE,REVERSE HOLO,EX RUBY AND SAPPHIRE,032 OF 109,2.79
GROVYLE,STANDARD,EX RUBY AND SAPPHIRE,032 OF 109,0.89
HARIYAMA,REVERSE HOLO,EX RUBY AND SAPPHIRE,033 OF 109,2.79
HARIYAMA,STANDARD,EX RUBY AND SAPPHIRE,033 OF 109,0.59
KIRLIA,REVERSE HOLO,EX RUBY AND SAPPHIRE,034 OF 109,2.79
KIRLIA,STANDARD,EX RUBY AND SAPPHIRE,034 OF 109,0.89
KIRLIA,REVERSE HOLO,EX RUBY AND SAPPHIRE,035 OF 109,2.79
KIRLIA,STANDARD,EX RUBY AND SAPPHIRE,035 OF 109,0.89
LAIRON,REVERSE HOLO,EX RUBY AND SAPPHIRE,036 OF 109,1.85
LAIRON,STANDARD,EX RUBY AND SAPPHIRE,036 OF 109,0.49
LAIRON,REVERSE HOLO,EX RUBY AND SAPPHIRE,037 OF 109,1.85
LAIRON,STANDARD,EX RUBY AND SAPPHIRE,037 OF 109,0.49
LINOONE,REVERSE HOLO,EX RUBY AND SAPPHIRE,038 OF 109,1.85
LINOONE,STANDARD,EX RUBY AND SAPPHIRE,038 OF 109,0.49
MANECTRIC,REVERSE HOLO,EX RUBY AND SAPPHIRE,039 OF 109,1.85
MANECTRIC,STANDARD,EX RUBY AND SAPPHIRE,039 OF 109,0.49
MARSHTOMP,REVERSE HOLO,EX RUBY AND SAPPHIRE,040 OF 109,2.79
MARSHTOMP,STANDARD,EX RUBY AND SAPPHIRE,040 OF 109,0.49
MARSHTOMP,REVERSE HOLO,EX RUBY AND SAPPHIRE,041 OF 109,2.79
MARSHTOMP,STANDARD,EX RUBY AND SAPPHIRE,041 OF 109,0.89
MIGHTYENA,REVERSE HOLO,EX RUBY AND SAPPHIRE,042 OF 109,1.85
MIGHTYENA,STANDARD,EX RUBY AND SAPPHIRE,042 OF 109,0.49
SILCOON,REVERSE HOLO,EX RUBY AND SAPPHIRE,043 OF 109,1.85
SILCOON,STANDARD,EX RUBY AND SAPPHIRE,043 OF 109,0.49
SKITTY,REVERSE HOLO,EX RUBY AND SAPPHIRE,044 OF 109,2.29
SKITTY,STANDARD,EX RUBY AND SAPPHIRE,044 OF 109,0.59
SLAKOTH,REVERSE HOLO,EX RUBY AND SAPPHIRE,045 OF 109,1.85
SLAKOTH,STANDARD,EX RUBY AND SAPPHIRE,045 OF 109,0.49
SWELLOW,REVERSE HOLO,EX RUBY AND SAPPHIRE,046 OF 109,1.85
SWELLOW,STANDARD,EX RUBY AND SAPPHIRE,046 OF 109,0.49
VIGOROTH,REVERSE HOLO,EX RUBY AND SAPPHIRE,047 OF 109,1.85
VIGOROTH,STANDARD,EX RUBY AND SAPPHIRE,047 OF 109,0.49
WAILMER,REVERSE HOLO,EX RUBY AND SAPPHIRE,048 OF 109,1.85
WAILMER,STANDARD,EX RUBY AND SAPPHIRE,048 OF 109,0.49
ARON,REVERSE HOLO,EX RUBY AND SAPPHIRE,049 OF 109,1.55
ARON,STANDARD,EX RUBY AND SAPPHIRE,049 OF 109,0.39
ARON,REVERSE HOLO,EX RUBY AND SAPPHIRE,050 OF 109,1.55
ARON,STANDARD,EX RUBY AND SAPPHIRE,050 OF 109,0.39
CARVANHA,REVERSE HOLO,EX RUBY AND SAPPHIRE,051 OF 109,1.55
CARVANHA,STANDARD,EX RUBY AND SAPPHIRE,051 OF 109,0.39
ELECTRIKE,REVERSE HOLO,EX RUBY AND SAPPHIRE,052 OF 109,1.55
ELECTRIKE,STANDARD,EX RUBY AND SAPPHIRE,052 OF 109,0.39
ELECTRIKE,REVERSE HOLO,EX RUBY AND SAPPHIRE,053 OF 109,1.55
ELECTRIKE,STANDARD,EX RUBY AND SAPPHIRE,053 OF 109,0.39
KOFFING,REVERSE HOLO,EX RUBY AND SAPPHIRE,054 OF 109,1.55
KOFFING,STANDARD,EX RUBY AND SAPPHIRE,054 OF 109,0.39
GOLDEEN,REVERSE HOLO,EX RUBY AND SAPPHIRE,055 OF 109,1.55
GOLDEEN,STANDARD,EX RUBY AND SAPPHIRE,055 OF 109,0.39
MAKUHITA,REVERSE HOLO,EX RUBY AND SAPPHIRE,056 OF 109,1.55
MAKUHITA,STANDARD,EX RUBY AND SAPPHIRE,056 OF 109,0.39
MAKUHITA,REVERSE HOLO,EX RUBY AND SAPPHIRE,057 OF 109,1.55
MAKUHITA,STANDARD,EX RUBY AND SAPPHIRE,057 OF 109,0.39
MAKUHITA,REVERSE HOLO,EX RUBY AND SAPPHIRE,058 OF 109,1.55
MAKUHITA,STANDARD,EX RUBY AND SAPPHIRE,058 OF 109,0.39
MUDKIP,REVERSE HOLO,EX RUBY AND SAPPHIRE,059 OF 109,2.59
MUDKIP,STANDARD,EX RUBY AND SAPPHIRE,059 OF 109,0.49
MUDKIP,REVERSE HOLO,EX RUBY AND SAPPHIRE,060 OF 109,2.59
MUDKIP,STANDARD,EX RUBY AND SAPPHIRE,060 OF 109,0.49
NUMEL,REVERSE HOLO,EX RUBY AND SAPPHIRE,061 OF 109,1.55
NUMEL,STANDARD,EX RUBY AND SAPPHIRE,061 OF 109,0.39
PHANPY,REVERSE HOLO,EX RUBY AND SAPPHIRE,062 OF 109,1.55
PHANPY,STANDARD,EX RUBY AND SAPPHIRE,062 OF 109,0.39
POOCHYENA,REVERSE HOLO,EX RUBY AND SAPPHIRE,063 OF 109,1.55
POOCHYENA,STANDARD,EX RUBY AND SAPPHIRE,063 OF 109,0.39
POOCHYENA,REVERSE HOLO,EX RUBY AND SAPPHIRE,064 OF 109,1.55
POOCHYENA,STANDARD,EX RUBY AND SAPPHIRE,064 OF 109,0.39
POOCHYENA,REVERSE HOLO,EX RUBY AND SAPPHIRE,065 OF 109,1.55
POOCHYENA,STANDARD,EX RUBY AND SAPPHIRE,065 OF 109,0.39
RALTS,REVERSE HOLO,EX RUBY AND SAPPHIRE,066 OF 109,2.59
RALTS,STANDARD,EX RUBY AND SAPPHIRE,066 OF 109,0.49
RALTS,REVERSE HOLO,EX RUBY AND SAPPHIRE,067 OF 109,2.59
RALTS,STANDARD,EX RUBY AND SAPPHIRE,067 OF 109,0.49
RALTS,REVERSE HOLO,EX RUBY AND SAPPHIRE,068 OF 109,2.59
RALTS,STANDARD,EX RUBY AND SAPPHIRE,068 OF 109,0.49
SHROOMISH,REVERSE HOLO,EX RUBY AND SAPPHIRE,069 OF 109,1.55
SHROOMISH,STANDARD,EX RUBY AND SAPPHIRE,069 OF 109,0.39
SKITTY,REVERSE HOLO,EX RUBY AND SAPPHIRE,070 OF 109,2.29
SKITTY,STANDARD,EX RUBY AND SAPPHIRE,070 OF 109,0.39
SKITTY,REVERSE HOLO,EX RUBY AND SAPPHIRE,071 OF 109,2.29
SKITTY,STANDARD,EX RUBY AND SAPPHIRE,071 OF 109,0.39
TAILLOW,REVERSE HOLO,EX RUBY AND SAPPHIRE,072 OF 109,1.55
TAILLOW,STANDARD,EX RUBY AND SAPPHIRE,072 OF 109,0.39
TORCHIC,REVERSE HOLO,EX RUBY AND SAPPHIRE,073 OF 109,2.29
TORCHIC,STANDARD,EX RUBY AND SAPPHIRE,073 OF 109,0.49
TORCHIC,REVERSE HOLO,EX RUBY AND SAPPHIRE,074 OF 109,2.29
TORCHIC,STANDARD,EX RUBY AND SAPPHIRE,074 OF 109,0.49
TREECKO,REVERSE HOLO,EX RUBY AND SAPPHIRE,075 OF 109,2.29
TREECKO,STANDARD,EX RUBY AND SAPPHIRE,075 OF 109,0.49
TREECKO,REVERSE HOLO,EX RUBY AND SAPPHIRE,076 OF 109,2.29
TREECKO,STANDARD,EX RUBY AND SAPPHIRE,076 OF 109,0.49
WINGULL,REVERSE HOLO,EX RUBY AND SAPPHIRE,077 OF 109,1.55
WINGULL,STANDARD,EX RUBY AND SAPPHIRE,077 OF 109,0.39
WURMPLE,REVERSE HOLO,EX RUBY AND SAPPHIRE,078 OF 109,1.55
WURMPLE,STANDARD,EX RUBY AND SAPPHIRE,078 OF 109,0.39
ZIGZAGOON,REVERSE HOLO,EX RUBY AND SAPPHIRE,079 OF 109,1.55
ZIGZAGOON,STANDARD,EX RUBY AND SAPPHIRE,079 OF 109,0.39
ENERGY REMOVAL 2,REVERSE HOLO,EX RUBY AND SAPPHIRE,080 OF 109,2.15
ENERGY REMOVAL 2,STANDARD,EX RUBY AND SAPPHIRE,080 OF 109,0.59
ENERGY RESTORE,REVERSE HOLO,EX RUBY AND SAPPHIRE,081 OF 109,2.15
ENERGY RESTORE,STANDARD,EX RUBY AND SAPPHIRE,081 OF 109,0.49
ENERGY SWITCH,REVERSE HOLO,EX RUBY AND SAPPHIRE,082 OF 109,2.79
ENERGY SWITCH,STANDARD,EX RUBY AND SAPPHIRE,082 OF 109,0.69
LADY OUTING,REVERSE HOLO,EX RUBY AND SAPPHIRE,083 OF 109,2.59
LADY OUTING,STANDARD,EX RUBY AND SAPPHIRE,083 OF 109,0.79
LUM BERRY,REVERSE HOLO,EX RUBY AND SAPPHIRE,084 OF 109,2.15
LUM BERRY,STANDARD,EX RUBY AND SAPPHIRE,084 OF 109,0.79
ORAN BERRY,REVERSE HOLO,EX RUBY AND SAPPHIRE,085 OF 109,2.15
ORAN BERRY,STANDARD,EX RUBY AND SAPPHIRE,085 OF 109,0.59
POKE BALL,REVERSE HOLO,EX RUBY AND SAPPHIRE,086 OF 109,1.85
POKE BALL,STANDARD,EX RUBY AND SAPPHIRE,086 OF 109,0.49
POKEMON REVERSAL,REVERSE HOLO,EX RUBY AND SAPPHIRE,087 OF 109,1.85
POKEMON REVERSAL,STANDARD,EX RUBY AND SAPPHIRE,087 OF 109,0.59
POKENAV,REVERSE HOLO,EX RUBY AND SAPPHIRE,088 OF 109,2.79
POKENAV,STANDARD,EX RUBY AND SAPPHIRE,088 OF 109,1.35
PROFESSOR BIRCH,REVERSE HOLO,EX RUBY AND SAPPHIRE,089 OF 109,1.85
PROFESSOR BIRCH,STANDARD,EX RUBY AND SAPPHIRE,089 OF 109,0.59
ENERGY SEARCH,REVERSE HOLO,EX RUBY AND SAPPHIRE,090 OF 109,1.55
ENERGY SEARCH,STANDARD,EX RUBY AND SAPPHIRE,090 OF 109,0.39
POTION,REVERSE HOLO,EX RUBY AND SAPPHIRE,091 OF 109,1.55
POTION,STANDARD,EX RUBY AND SAPPHIRE,091 OF 109,0.39
SWITCH,REVERSE HOLO,EX RUBY AND SAPPHIRE,092 OF 109,4.79
SWITCH,STANDARD,EX RUBY AND SAPPHIRE,092 OF 109,0.59
DARKNESS ENERGY,SPECIAL,EX RUBY AND SAPPHIRE,093 OF 109,4.79
DARKNESS ENERGY,SPECIAL,EX RUBY AND SAPPHIRE,093 OF 109,3.79
METAL ENERGY,SPECIAL,EX RUBY AND SAPPHIRE,094 OF 109,4.79
METAL ENERGY,SPECIAL,EX RUBY AND SAPPHIRE,094 OF 109,3.79
RAINBOW ENERGY,REVERSE HOLO,EX RUBY AND SAPPHIRE,095 OF 109,3.79
RAINBOW ENERGY,STANDARD,EX RUBY AND SAPPHIRE,095 OF 109,2.79
CHANSEY EX,STANDARD,EX RUBY AND SAPPHIRE,096 OF 109,6.75
ELECTABUZZ EX,STANDARD,EX RUBY AND SAPPHIRE,097 OF 109,8.75
HITMONCHAN EX,STANDARD,EX RUBY AND SAPPHIRE,098 OF 109,6.75
LAPRAS EX,STANDARD,EX RUBY AND SAPPHIRE,099 OF 109,9.75
MAGMAR EX,STANDARD,EX RUBY AND SAPPHIRE,100 OF 109,6.25
MEWTWO EX,STANDARD,EX RUBY AND SAPPHIRE,101 OF 109,9.99
SCYTHER EX,STANDARD,EX RUBY AND SAPPHIRE,102 OF 109,9.75
SNEASEL EX,STANDARD,EX RUBY AND SAPPHIRE,103 OF 109,8.25
GRASS ENERGY,REVERSE HOLO,EX RUBY AND SAPPHIRE,104 OF 109,99.99
GRASS ENERGY,STANDARD,EX RUBY AND SAPPHIRE,104 OF 109,0.19
FIGHTING ENERGY,REVERSE HOLO,EX RUBY AND SAPPHIRE,105 OF 109,99.99
FIGHTING ENERGY,STANDARD,EX RUBY AND SAPPHIRE,105 OF 109,0.19
WATER ENERGY,REVERSE HOLO,EX RUBY AND SAPPHIRE,106 OF 109,99.99
WATER ENERGY,STANDARD,EX RUBY AND SAPPHIRE,106 OF 109,0.19
PSYCHIC ENERGY,REVERSE HOLO,EX RUBY AND SAPPHIRE,107 OF 109,99.99
PSYCHIC ENERGY,STANDARD,EX RUBY AND SAPPHIRE,107 OF 109,0.19
FIRE ENERGY,REVERSE HOLO,EX RUBY AND SAPPHIRE,108 OF 109,99.99
FIRE ENERGY,STANDARD,EX RUBY AND SAPPHIRE,108 OF 109,0.19
LIGHTNING ENERGY,REVERSE HOLO,EX RUBY AND SAPPHIRE,109 OF 109,99.99
LIGHTNING ENERGY,STANDARD,EX RUBY AND SAPPHIRE,109 OF 109,0.19
ARMALDO,STANDARD,EX SANDSTORM,001 OF 100,4.79
ARMALDO,REVERSE HOLO,EX SANDSTORM,001 OF 100,4.79
CACTURNE,STANDARD,EX SANDSTORM,002 OF 100,5.25
CACTURNE,REVERSE HOLO,EX SANDSTORM,002 OF 100,5.25
CRADILY,STANDARD,EX SANDSTORM,003 OF 100,4.49
CRADILY,REVERSE HOLO,EX SANDSTORM,003 OF 100,4.49
DUSCLOPS,STANDARD,EX SANDSTORM,004 OF 100,6.75
DUSCLOPS,REVERSE HOLO,EX SANDSTORM,004 OF 100,6.75
FLAREON,REVERSE HOLO,EX SANDSTORM,005 OF 100,9.75
FLAREON,STANDARD,EX SANDSTORM,005 OF 100,7.75
JOLTEON,REVERSE HOLO,EX SANDSTORM,006 OF 100,9.75
JOLTEON,STANDARD,EX SANDSTORM,006 OF 100,7.75
LUDICOLO,STANDARD,EX SANDSTORM,007 OF 100,6.25
LUDICOLO,REVERSE HOLO,EX SANDSTORM,007 OF 100,6.25
LUNATONE,STANDARD,EX SANDSTORM,008 OF 100,6.25
LUNATONE,REVERSE HOLO,EX SANDSTORM,008 OF 100,6.25
MAWILE,REVERSE HOLO,EX SANDSTORM,009 OF 100,4.39
MAWILE,STANDARD,EX SANDSTORM,009 OF 100,4.29
SABLEYE,STANDARD,EX SANDSTORM,010 OF 100,4.79
SABLEYE,REVERSE HOLO,EX SANDSTORM,010 OF 100,4.79
SEVIPER,STANDARD,EX SANDSTORM,011 OF 100,4.79
SEVIPER,REVERSE HOLO,EX SANDSTORM,011 OF 100,4.79
SHIFTRY,STANDARD,EX SANDSTORM,012 OF 100,5.75
SHIFTRY,REVERSE HOLO,EX SANDSTORM,012 OF 100,5.75
SOLROCK,STANDARD,EX SANDSTORM,013 OF 100,4.79
SOLROCK,REVERSE HOLO,EX SANDSTORM,013 OF 100,4.59
ZANGOOSE,STANDARD,EX SANDSTORM,014 OF 100,4.29
ZANGOOSE,REVERSE HOLO,EX SANDSTORM,014 OF 100,4.29
ARCANINE,REVERSE HOLO,EX SANDSTORM,015 OF 100,5.25
ARCANINE,STANDARD,EX SANDSTORM,015 OF 100,3.29
ESPEON,REVERSE HOLO,EX SANDSTORM,016 OF 100,8.75
ESPEON,STANDARD,EX SANDSTORM,016 OF 100,5.25
GOLDUCK,REVERSE HOLO,EX SANDSTORM,017 OF 100,3.79
GOLDUCK,STANDARD,EX SANDSTORM,017 OF 100,2.29
KECLEON,REVERSE HOLO,EX SANDSTORM,018 OF 100,3.79
KECLEON,STANDARD,EX SANDSTORM,018 OF 100,2.29
OMASTAR,REVERSE HOLO,EX SANDSTORM,019 OF 100,3.79
OMASTAR,STANDARD,EX SANDSTORM,019 OF 100,2.29
PICHU,REVERSE HOLO,EX SANDSTORM,020 OF 100,6.75
PICHU,STANDARD,EX SANDSTORM,020 OF 100,3.29
SANDSLASH,REVERSE HOLO,EX SANDSTORM,021 OF 100,3.29
SANDSLASH,STANDARD,EX SANDSTORM,021 OF 100,2.29
SHIFTRY,REVERSE HOLO,EX SANDSTORM,022 OF 100,3.29
SHIFTRY,STANDARD,EX SANDSTORM,022 OF 100,2.29
STEELIX,REVERSE HOLO,EX SANDSTORM,023 OF 100,3.29
STEELIX,STANDARD,EX SANDSTORM,023 OF 100,2.29
UMBREON,REVERSE HOLO,EX SANDSTORM,024 OF 100,7.25
UMBREON,STANDARD,EX SANDSTORM,024 OF 100,5.25
VAPOREON,REVERSE HOLO,EX SANDSTORM,025 OF 100,9.25
VAPOREON,STANDARD,EX SANDSTORM,025 OF 100,5.25
WOBBUFFET,REVERSE HOLO,EX SANDSTORM,026 OF 100,3.29
WOBBUFFET,STANDARD,EX SANDSTORM,026 OF 100,2.29
ANORITH,REVERSE HOLO,EX SANDSTORM,027 OF 100,1.85
ANORITH,STANDARD,EX SANDSTORM,027 OF 100,0.49
ANORITH,REVERSE HOLO,EX SANDSTORM,028 OF 100,1.85
ANORITH,STANDARD,EX SANDSTORM,028 OF 100,0.49
ARBOK,REVERSE HOLO,EX SANDSTORM,029 OF 100,1.85
ARBOK,STANDARD,EX SANDSTORM,029 OF 100,0.49
AZUMARILL,REVERSE HOLO,EX SANDSTORM,030 OF 100,2.15
AZUMARILL,STANDARD,EX SANDSTORM,030 OF 100,0.49
AZURILL,REVERSE HOLO,EX SANDSTORM,031 OF 100,2.29
AZURILL,STANDARD,EX SANDSTORM,031 OF 100,0.49
BALTOY,REVERSE HOLO,EX SANDSTORM,032 OF 100,1.85
BALTOY,STANDARD,EX SANDSTORM,032 OF 100,0.49
BRELOOM,REVERSE HOLO,EX SANDSTORM,033 OF 100,1.85
BRELOOM,STANDARD,EX SANDSTORM,033 OF 100,0.49
DELCATTY,REVERSE HOLO,EX SANDSTORM,034 OF 100,2.15
DELCATTY,STANDARD,EX SANDSTORM,034 OF 100,0.49
ELECTABUZZ,REVERSE HOLO,EX SANDSTORM,035 OF 100,1.85
ELECTABUZZ,STANDARD,EX SANDSTORM,035 OF 100,0.49
ELEKID,REVERSE HOLO,EX SANDSTORM,036 OF 100,1.85
