name,number,tcgplayer_market_price_usd,api_price_usd,delta_usd,matched,notes
Persian,053,0.07,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Hypno,097,0.12,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Wigglytuff ex - 040/165,040,1.07,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Metapod,011,0.16,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Zapdos ex - 145/165,145,1.34,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Ponyta,077,0.08,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Porygon,137,0.06,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Leftovers,163,0.11,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Omanyte - 138/165,138,0.16,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Exeggutor,103,0.15,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Farfetch'd,083,0.06,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Kakuna,014,0.12,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Sandshrew,027,0.07,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
